code;name;dimension;disc price;price;
PND1310;GALERIA APLİK/WALL;62X13 CM;2900;4060;16 ADET STOK;
PND1347-W ;KRİSTAL APLİK/WALL;55X15 CM;5500;7700;;
PND1280;KATE  APLİK/WALL;;8500;11900;TEŞHİR DAHİL 3 ADET STOK;
 PND1298                             ;QUARTZ TAŞLI ARMATÜR;"Q: 50 CM 
H: 38 CM 
";37500;52500;;
PND1280-V2;QUARTZ AVİZE ;"Q: 52 CM 
L: 9 CM 
";45000;63000;;
PND1280;QUARTZ SARKIT/PENDANT ;"H:50 CM 
Q: 14 CM ";12500;17500;;
PND1280;QUARTZ SARKIT/PENDANT ;"H:120 CM 
Q: 12,5 CM ";27000;37800;27.000,00 TL;
PND1280;QUARTZ YUVARLAK FORM SARKIT/PENDANT ;60 Q;33000;46200;;
PND1280;QUARTZ YUVARLAK FORM SARKIT/PENDANT ;80 Q;48000;67200;;
PND1280;QUARTZ YUVARLAK FORM SARKIT/PENDANT ;100 Q;65000;91000;;
PND1280-W;QUARTZ APLİK/WALL;"H:14 CM 
L: 46 CM ";11500;16100;;
PND1280;QUARTZ RING SARKIT/PENDANT ;90 cm  iç  çember 82 cm ;40000;56000;;
PND1280;QUARTZ RING SARKIT/PENDANT ;75 cm  iç çember 66 cm ;30000;42000;;
PND1280;QUARTZ RING SARKIT/PENDANT ;55 cm  iç çember 46 cm ;25000;35000;;
PND1280;QUARTZ RING SARKIT/PENDANT ;35 cm iç çember 27 cm;15000;21000;;
PND1326-L  ;KRİSTAL AVİZE LİNER/CHANDELIER;110X50 CM ;19000;26600;;
PND1326   ;KRİSTAL AVİZE /CHANDELIER;Q:50 CM ;17500;24500;;
PND1326-W  ;KRİSTAL AVİZE /CHANDELIER;35X55 CM;4500;6300;;
PND1239;DOĞAL TAŞLI APLİK/WALL;38X18 CM ;4800;6720;;
PND 1218-W;MELT SARKIT/PENDANT;28X120 CM;3800;5320;1.300,00 TL;
PND 1218;MELT SARKIT/PENDANT;28X120 CM;3800;5320;1.450,00 TL;
PND 1218;MELT SARKIT/PENDANT;36X 120 CM ;5900;8260;2.450,00 TL;
PND 1218;"MELT ABAJUR/TABLE LAMP
"; 28 X 44 cm ;6500;9100;1.720,00 TL;
PND 1218-L;MELT LAMBADER/FLOOR LAMP;;17500;24500;;
PND1427;BOB SARKIT ;24.5X18 CM ;1250;1750;500,00 TL;
PND1427;BOB SARKIT ;24.5X18 CM ;3750;5250;1.500,00 TL;
PND1248;KARO APLİK/WALL;32X45 CM ;4800;6800;;
PND1240-W;CUARDO APLİK/WALL;30X42 CM ;3500;4900;;
PND1240-M2;CUARDO MASA LAMBASI/TABEL LAMP;;5500;7700;;
PND1240-M;CUARDO MASA LAMBASI/TABEL LAMP;;3900;5460;;
PND1255;MODO APLİK NEW /WALL;30X23 CM ;1250;1750;;
PND1257-W;MODO APLİK/WALL;10 X13X48 CM ;1200;1680;;
PND1257;MODO SARKIT/PENDANT;100X50 CM ;9500;15000;;
PND1257-A;MODO ARMATÜR/PENDANT;40X50 CM ;2750;3850;;
PND1678;DAİRE MERMER APLİK/WALL;"DERİNLİK 7CM 
MERMER Q 20 CM
METAL DAHİL BİTMİŞ 23 CM";2500;3500;1.250,00 TL;
PND1337;GENZA APLİK/WALL;50X15 CM ;875;1225;;
PND1337;GENZA SARKIT/PENDANT;"GÖVDE ÇAP 48 CM
CAM DAHİL 74  Q";4200;6750;;
PND1679;SPOT ARMATÜR;60 CM ;2200;8800;1.000,00 TL;
PND1244;EQUNINOX AVİZE ;54 X 72 CM ;21000;29500;;
PND1244;EQUNINOX AVİZE ;155X70 CM ;26000;37500;;
PND1245;EQUNINOX AVİZE ;160 CM;32000;45000;;
PND1245;EQUNINOX AVİZE ;80X90 CM ;12500;17500;;
PND1245;EQUNINOX AVİZE ;210X55 CM ;28500;39900;;
PND1245;EQUNINOX MASA LAMBASI/ TABLE LAMP ;35 CM;5800;8120;;
PND1682;MUSSEL SARKIT 10L;60X120 CM ;15500;21700;7.225,00 TL;
PND1682;MUSSEL SARKIT APLİK/WALL;20 CM;1850;2590;800,00 TL;
PND1683;FELIX 7 L;60X120 CM ;9600;15500;4.800,00 TL;
PND1684;EMILY 5 L ;60X120 CM ;13500;18900;6.750,00 TL;
PND1684;EMILY 6 L LİNER;100X100 CM;16200;22680;8.100,00 TL;
PND1264;PUL APLİK/WALL;30 Q;3250;4550;;
PND1264;PUL AVİZE/CHANDEIER;40 Q;3900;5460;;
PND1264;PUL AVİZE 5 L /CHANDEIER;100X35;19500;27300;;
PND1264-T;PUL ABAJUR/TABLELAMP;45X50 CM;4900;6860;;
PND1430 ;GREEN BALL SARKIT/PENDANT;20 Q;3000;4200;;
PND1430 -W1;GREEN BALL APLİK/WALL;18X35CM;2200;3080;;
PND1430 -W2;GREEN BALL APLİK/WALL;20X75CM;3900;5460;;
PND1430 -W3;GREEN BALL APLİK/WALL;20X75CM;3900;5460;;
PND1341-W ;YILAN APLİK / WALL;90X29 CM ;7000;9800;;
PND1341-W ;YILAN AYNA/MIRROR;;10750;15050;;
PND1436-A  ;CBC AVİZE/CHANDELIER;122X83;15000;21000;;
PND1436-B;CBC AVİZE/CHANDELIER;119 Q;17500;24500;;
PND1718;MAYBE APLİK/WALL;68X28X14 cm;4450;6230;;
PND1719;ELISA APLİK /WALL;75X12CM ;4850;6790;;
PND1720;KONİ APLİK ;27X11X16 CM;1875;2625;;
PND1721;MEŞALE APLİK/WALL;50X11X9X3,5 CM ;1350;1890;;
PND1722-W1;LORA APLİK/WALL;30X10X5 CM ;1250;1750;;
PND1722-W2;LORA APLİK/WALL;25x10x5 CM;1350;1890;;
PND1722;LORA AVİZE/CHANDELIER;120X60 CM ;25000;35000;;
PND1723-W;LORA APLİK/WALL;32X20 CM ;2750;3850;;
PND1724;LORA AVİZE/CHANDELIER;80X80 CM ;12500;17500;;
PND1725;DESİ AVİZE/CHANDELIER ;100X60 CM;27500;38500;;
PND1707-W;BOCKA APLİK/WALL;40X10 CM;1250;1750;;
PND1707;BOCKA SARKIT/PENDANT;60 Q;5500;7700;;
PND1309   ;KITAMI APLİK/WALL;;4750;6650;;
PND1309-A       ;KITAMI SARKIT/PENDANT;;12500;17500;;
PND1713-W;MATTEO APLİK/WALL;30X30 CM ;2650;3710;;
PND1713;MATTEO SARKIT/PENDANT;80X40 CM ;4500;6300;;
PND1713;MATTEO SARKIT/PENDANT;80X40 CM ;9500;13300;;
PND1713;MATTEO SARKIT/PENDANT;80X70 CM;7500;10500;;
PND1276-W;STARY APLİK/WALL;50X25X8 CM;6900;9500;1.565,00 TL;
PND1276-1;STARY SARKIT /CHANDELIER;50X50X35 CM;9690;13500;3.130,00 TL;
PND1276-2;STARY SARKIT /CHANDELIER;50X50 CM ;9690;13500;3.130,00 TL;
PND1276-3;STARY SARKIT /CHANDELIER;130X40 CM;9690;13500;3.130,00 TL;
PND1726-W;DORYA APLİK/WALL;68X15CM ;4500;6300;;
PND1726;DORYA AVİZE/CHANDELIER;50X22CM;15000;21000;;
PND1726;DORYA AVİZE/CHANDELIER;120 25 CM ;25000;35000;;
PND1726;DORYA LİNER AVİZE/CHANDELIER;150X 30 CM ;25000;35000;;
PND1667    ;GLEEN SARKIT LINER/PENDANT;150X30 CM ;18800;26320;9.400,00 TL;
PND1667    ;GLEEN SARKIT /PENDANT;60X30 CM ;11000;15400;5.500,00 TL;
"
PND1668  ";LINDA SARKIT/PENDANT;Ø:35CM H:90CM;8900;12460;2.200,00 TL;
PND1412 ;GREEN LIGHT SARKIT /PENDANT;Ø:28CM H:130CM;3750;5250;1.500,00 TL;
PND1352-W    ;SARA ZİNCİR APLİK /WALL;"ÖLÇÜLER
15 X 40 
 ZİNCİR DAHİL 65CM";2800;3920;;
PND1352-W   2;SARA ZİNCİR APLİK /WALL;"ÖLÇÜLER
55 X 50 CM";5900;8260;350,00 TL;
PND1387-O  ;SARA ZİNCİR AVİZE / CHANDELIER;"ÖLÇÜLER 
80 Q 
";16500;23100;;
PND1387 -B;SARA ZİNCİR AVİZE / CHANDELIER;"ÖLÇÜLER 
100 Q 
";22800;31920;;
PND1387-Q ;SARA ZİNCİR AVİZE / CHANDELIER;"ÖLÇÜLER 
80 Q  X 50
";18500;25900;;
PND1387 -T;SARA ZİNCİR AVİZE / CHANDELIER;"ÖLÇÜLER 
100 Q  X 50
";25500;35700;;
PND1707-T1;"LENA ABAJUR /
TABLE LAMP";"ÖLÇÜLER 
60 X 40 CM
ALT TABLA
45X15 CM
ŞAPKA 
61 X 24
TOPLAM YÜKSEKLİK 72 CM ";9500;13300;;
PND1707-T2;"LENA ABAJUR /
TABLE LAMP";"123X68X27,5 CM 
";23500;32900;;
PND-0123;"HORSE
ABAJUR / TABLE LAMP";"ÖLÇÜLER
45X102 CM ";12500;24000;;
PND-0124;"Stella  
APLİK/WALL";"ÖLÇÜLER
110X30";3400;5000;;
PND1335;"GRACE 
APLİK/WALL";"ÖLÇÜLER
60X 15 CM ";1875;2650;;
PND1335;"GRACE 
SARKIT/PENDANT";50X100 CM ;2200;3000;;
PND1335;"GRACE
ABAJUR/TABLE LAMP";"ÖLÇÜLER
45x85cm";12500;17500;;
PND1335;"GRACE
AVİZE/CHANDELIER";"ÖLÇÜLER
100X80 CM ";25000;35000;;
PND1335;"GRACE 
MASA ÜSTÜ AVİZE /CHANDELİER";ÖLÇÜLER 100X50 X60CM;28500;40000;;
PND1335;"GRACE 
MASA ÜSTÜ AVİZE /CHANDELİER";"ÖLÇÜLER
140X50X75 CM";45000;65000;;
PND1335;GRACE MASA /TABLE ;200X100 CM ;135000;189000;;
PND-123;"SNAKE 
APLİK/WALL";"ÖLÇÜLER
32x25x89cm";6900;9660;;
PND-124;DIEGO APLİK/WALL;"ÖLÇÜLER
11X80 CM ";1475;2000;255,00 TL;
PND-125;SUN AVİZE /CHANDELIER;;16500;23100;;
PND1714;HERA SARKIT;H:85 CM;9500;13300;;
PND1714;HERA SARKIT;H:100 CM;12500;,;;
PND1714;HERA SARKIT;H:120 CM;13600;19040;;
PND1714-P1;"HERA SARKIT/PENDANT
";60x30 CM;8000;11200;;
PND1714-P2;"HERA SARKIT/PENDANT
";80x30  CM;9000;12600;;
PND1714-P3;"HERA SARKIT/PENDANT
";90X30 CM;10000;14000;;
PND1714-1;HERA RING SARKIT/PENDANT;;19500;27300;;
PND1714-2;HERA SARKIT;" ÇAP  90 CM DİR.
16 GLOB CAM ÇAP:70 CM DİR.";39000;54600;;
PND1714-3;HERA SARKIT;" ÇAP  90 CM
 ÇAP:70 CM 
ÇAP:50 CM DİR.";54000;75600;;
PND1715;SERA SARKIT/PENDANT;Q: 70 CM ;13500;18900;;
PND1715;SERA APLİK ;45X15X6 CM;2850;3990;750,00 TL;
PND1727;YAPRAK ARMATÜR;70X 10 CM;18000;25200;;
PND1727-AP;YAPRAK APLİK /WALL;30X 10 CM ;2250;3150;;
PND18887;"EMMA
LAMBADER / FLOORLAMP";X;7500;10500;1.000,00 TL;
PND1256;QBA SARKIT A;"Ölçüler
 15 cm     120 cm ";1250;1750;930,00 TL;
PND1256;QBA SARKIT B;"Ölçüler
 15 cm     120 cm   ";900;1260;489,00 TL;
PND1246  ;HEDGEHOG KİRPİ AVİZE/CHANDELIER ;70 Q;14000;19600;;
PND1685;MORRIS APLİK/WALL;"

Ölçüler
 6 cm     61 cm   
";1230;1750;615,00 TL;
PND1685;MORRIS APLİK/WALL;"

Ölçüler
 6 cm     91 cm   
";1670;2400;835,00 TL;
PND1685;MORRIS APLİK/WALL;"Ölçüler
 6cm     121 cm   
";1780;2500;890,00 TL;
PND1287;"VERONICA 1
 SARKIT 3L/ PENDANT";H: 100 CM ;2250;3150;;
PND1287;VERONICA 1 SARKIT/PENDANT;H:85 ;1490;2086;;
PND1288;VERONICA SARKIT/PENDANT;H:85 ;1490;2086;;
PND1288;VERONICA APLİK /WALL;"H:76 CM 
CAM:10X40 CM
EN:20 CM ";3900;5500;1.750,00 TL;
PND1288;VERONICA AVİZE/CHANDELIER;100 Q;24500;34300;;
PND1233  ;"DIALLO 
CHANDELIER/AVİZE
SMALL";75X100 CM ;17500;24500;;
PND1425-W  ;SAIERSE APLİK/WALL;30X60 CM ;2850;3990;;
PND1431-W1;WINKLE ZARF APLİK/WALL;38X10X13 CM ;2750;3850;;
PND1431-W2   ;WINKLE ZARF APLİK/WALL;40X12X8 CM ;1875;2625;  ;
PND1728;MAFSALLI APLİK ;X;1875;2625;;
PDN0001;PETSO APLİK/WALL;"D: 12 CM 
CAM D:13 CM ";780;1092;;
PDN0002;PETSO TABLE/MASA LAMBASI ;"D: 15 CM 
CAM D:20 CM 
H:63 CM ";980;1372;;
PDN0003;MUSH TABLE / MASA LAMBASI ;"D:30 CM
H:45 CM ";3900;5460;800,00 TL;
PDN0004;TULU PENDANT/SARKIT;"D:45 CM 
H: 55 CM ";890;1246;;
PND1380  ;"BLOOM SARKIT/PENDANT
SMALL";"D:40 CM 
H: 63 CM ";1800;2520;;
PND1380  ;"REBECA SARKIT/PENDANT LARGE 
";"D: 40 cm 
H: 88 cm
";2150;3010;;
PND1378      ;DINGDONG SARKIT/PENDANT;60 Q;3950;5530;;
PND1390-T    ;APLİKQA MASA LAMBASI/TABLE;"20 X 60 CM 
";650;910;;
PND00012;VIOLET SARKIT / PENDANT;"D: 40 cm 

";1450;2030;;
PND00013;RİXOS  APLİK/WALL;"D:  9 CM
H: 55 CM 
";1850;2590;;
PND00014;"ARORA 
APLİK/WALL";"D: 8 CM 
H:53 CM 
CAM D: 25 CM ";820;1148;;
PND00015;"ARORA 
APLİK/WALL";"D:  8 CM 
H: 75 CM
CAM D: 25 CM 
";1070;1498;;
PND1300 ;QENVA APLİK;57X27 CM ;6500;9100;;
PND1238W1;"İSTİRİDYE SARKIT
CHANDELIER";"ÖLÇÜ
20X21 CM";900;1260;1.100,00 TL;
PND1238W2;"İSTİRİDYE SARKIT
CHANDELIER";"ÖLÇÜ
50 X20 CM";1800;2520;1.100,00 TL;
PND1238A;"İSTİRİDYE SARKIT
CHANDELIER";"ÖLÇÜ
20X21 CM ";2700;3780;1.100,00 TL;
PND1238;"İSTİRİDYE SARKIT
CHANDELIER";65 Q;15000;21000;1.100,00 TL;
PND1238;"İSTİRİDYE SARKIT
CHANDELIER";50 Q;13500;18900;900,00 TL;
PND 1238;"İSTİRİDYE LİNER/
CHANDELIER";80X40 CM ;13000;18200;;
PND1674;"Vanessa 1
 APLİK/WALL";20 X 38 CM ;4300;6000;600 cam maliyeti;
PND1674;"Vanessa 2 
 APLİK/WALL";"D: 20 CM
";4000;5800;525 cam maliyet;
PND1674;Vanessa Sarkiıt/Pendant;"ÖLÇÜ
20 x 35 cm";6000;8500;600  cam maliyeti;
PND1674;Vanessa Sarkiıt/Pendant;"ÖLÇÜ
30x50 cm  ";9000;12600;1950  cam ;
PND1674;;"D: 45 CM
H: 100 CM 
";12500;17500;;
PND1691;"MARCO
AVİZE/CHANDELIER";35 Q;16500;23100;5.500,00 TL;
PND1691;"MARCO
AVİZE/CHANDELIER";50 Q;27000;37800;9.000,00 TL;
PND1691;"MARCO
AVİZE/CHANDELIER";70 Q;54000;85000;18.000,00 TL;
  PND1343                        ;MONALIZA AVİZE/CHANDELIER;80  Q;32500;45500;;
PND1411-W  1;MERVIN APLİK SMALL/WALL;W. 25 | D. 12 | H. 40 CM;6500;9100;;
PND1411-W2  ;MERVIN APLİK LARGE /WALL;W. 25 | D. 12 | H. 65 CM;8500;11900;;
PND1411-I  ;MERVIN AVİZE/CHANDELIER; ø 50 x H. 45 cm;25000;35000;;
PND1411-I;MERVIN 2 KATLI  AVİZE/CHANDELIER; ø 50 x H. 45 cm;37000;51800;;
PND1411- II                     ;MERVIN AVİZE/CHANDELIER;Ø 95 | H. 45  CM;45000;63000;;
PND1411-II ;MERVIN 2 KATLI  AVİZE/CHANDELIER;ø 95 x H. 70 CM;70000;98000;;
PND1402-III    ;MERVIN LİNER FORM  AVİZE/CHANDELIER;140 x 40 x H. 25 cm;40000;56000;;
PND1218;BUBBLE COPPER 3 L LİNEER FORM;"ÖLÇÜ
20 Q ";2800;3900;;
PND1218;BUBBLE COPPER 15 L LİNEER FORM;"ÖLÇÜ
100X20 C
";13500;19500;;
PND1218;BUBBLE COPPER 10 L YUVARLAK FORM;"ÖLÇÜ
45 Q";9000;13000;;
PND1218;BUBBLE COPPER 20 L YUVARLAK FORM;"ÖLÇÜ
60 Q";19000;27000;;
PND1335 W;SOFIA APLİK/WALL;15 Q;1250;1750;;
PND1335 W;SOFIA SARKIT/PENDANT;12 Q;1000;1400;;
PND1266;SOFIA 3 L SARKIT/PENDANT;"15 Q
KABLO BOYU:80 CM";3000;4200;;
PND1266;SOFIA 10 L SARKIT/PENDANT;"UZUNLUK: 100 cm
KABLO BOYU:80 CM";10000;14000;175 TL;
PND1266;SOFIA 12 L SARKIT/PENDANT;"45 Q
KABLO BOYU:80 CM";12000;16800;;
PND1232;"Mercy 12 L 
Sarkıt";D: 40  Q;14000;19600;;
PND1232-LNR;"Mercy 10 L
Sarkıt";"
H: 100 CM 
W:100 CM
";11700;16380;;
PND1675;"MERRY  3 L  
SARKIT";"D:30 CM
H:100 CM ";3000;4200;;
PND1675;"MERRY  10 L  
SARKIT";"D: 40 Q 
H: 100 CM 
";10000;14000;;
PND1675;"MERRY  12 L  
SARKIT";"D: 45 Q 
H: 100 CM 
";12000;16800;;
PND1675;"MERRY  20 L  
SARKIT";"W: 100X 20 CM 
H:100 cm";20000;28000;;
PND1306;LARA  AVİZE/CHANDELIER;65 CM ;2450;3430;;
PND1306;LARA AVİZE/CHANDELIER;Dia : 60 cm;7750;10850;;
PND1306;LARA AVİZE/CHANDELIER;145X70X70 CM ;8900;12460;;
PND1306;LARA AVİZE/CHANDELIER;170X70 CM ;12000;16800;;
PND1303;LISSA SARKIT/PENDANT;"
Ölçüler
Q  22 cm   
  120 cm   ";850;1250;412,00 TL;
PND1303;LISSA SARKIT/PENDANT;"
Ölçüler
Q: 24 cm    
 120 cm   ";980;1500;490,00 TL;
PND1303;LISSA  SARKIT/PENDANT;"
Ölçüler
 25 cm     120 cm   ";600;950;270,00 TL;
;DIAZ TABLO APLİK/WALL;"Ölçüler
35 cm     20 cm   ";690;966;205,00 TL;
PND1304;TURNA TABLO APLİK/WALL;"Ölçüler
 40 cm     12 cm   ";1490;2100;570,00 TL;
PND1304;TURNA TABLO APLİK/WALL;"Ölçüler
 60 cm     12 cm   ";1690;2400;670,00 TL;
PND1304;TURNA TABLO APLİK/WALL;"Ölçüler
 80 cm     123 cm";1890;2650;805,00 TL;
;Fade Cam Tekli Sarkıt;"CAM MALZEME -
RENK ALTERNATİFİ  BAKIR-KROM-ALTIN 
Dia:60 cm";875;1225;225,00 TL;30,00 TL
1288;Fade Cam Tekli Sarkıt;"CAM MALZEME -
RENK ALTERNATİFİ  BAKIR-KROM-ALTIN
Dia:35cm";450;630;100,00 TL;
;HASIR SARKIT;"Ölçüler
25 cm  50 cm  ";700;950;290,00 TL;
;HASIR SARKIT;"Ölçüler
 35 cm     120 cm   
";950;1250;365,00 TL;
1256;HASIR SARKIT;"Ölçüler
40 cm    47  cm   
";1000;1300;390,00 TL;
;Helga Tekli Cam Sarkıt ;CAM MALZEMEDEN YAPILMAKTADIR.;225;315;;
 PND1235                  ;"OCCO 6 LI SARKIT/PENDANT
";35 Q;8500;11900;200,00 TL;1.200,00 TL
 PND1235                  ;"OCCO 10 LI SARKIT/PENDANT
";100x15 cm ;14250;19950;;
 PND1235                  ;"OCCO 14 LI SARKIT/PENDANT
";"Dia : 14 * 10 cm Glass  
Note: 1 Glass is 2kg. ";19800;27720;2.380,00 TL;
 PND1235                  ;"OCCO 20 LI SARKIT/PENDANT
";60 Q ;28300;39620;;
 PND1235                  ;"OCCO 50 LI SARKIT/PENDANT
";90 Q;75000;105000;;170,00 TL
PND1335;GRACE SARKIT/PENDANT;50X 10 CM ;2700;3780;;
PND1335-A  ;GRACE AVİZE/CHANDELIER;Q:100 CM;40000;56000;;
PND1335-B;GRACE AVİZE/CHANDELIER;140X45 CM;65000;91000;;
PND1335-W;GRACE APLİK/WALL;15X60 CM;2200;3080;;
PND1263;"TYCHO ROUND/SARKIT
SUSPENSION"; 12 L  YUVARLAK FORM SARKIT Dia:60 CM ;35000;49000;;
PND1263;"TYCHO ROUND
SUSPENSION  ";14 L  LİNEER FORM SARKIT Dia:110 cm ;37500;52500;;
PND1263-W ;TYCHO ROUND WALL;Dia:20 cm ;2750;3850;;
PND1263-W ;TYCHO  2L WALL;DIA:85X 25;6500;9100;;
PND1402;Mcqueen Avize/Chandelier ;"Dia:65 CM 
Lengt:120 cm";35000;49000;;
PND1708;OLIVER  METAL SARKIT;40 Q;25000;35000;;
PND1708;OLIVER  METAL SARKIT;90 Q;65000;91000;;
PND1709;EMPIRE   80 CM ARMATUR SARKIT/CHANDELIER;90 Q;28500;39900;;
PND1709;EMPIRE   80 CM ARMATUR SARKIT/CHANDELIER;"Çap: 80cm
Uzunluk: 30";28500;39900;;
PND1709;EMPIRE   MASA ÜSTÜ/CHANDELIER;"Uzunluk: 120cm
Derinlik: 36cm
Yükseklik: 35";32500;45500;;
PND1709;"EMPIRE KARE FORM   8 KATLI
AVİZE /CHANDELIER
4 KAT CAM 
4 KAT METAL ";"METAL Üst:75  cm 60 cm 40 cm alt:20 cm
75X100 CM  ";75000;105000;;
PND1709;"EMPIRE KARE FORM   8 KATLI
AVİZE /CHANDELIER
4 KAT CAM 
4 KAT METAL ";"ÜST 80  cm 
60 cm
40 cm
 20 cm 
100X70 CM ";70000;98000;;
PND1709;EMPIRE 3 L  ESKİTME AVİZE/ CAHNDELIER;"Çap: 25cm
Uzunluk: 30cm
tek katlı cam: 15cm ";9000;12600;;
PND1709;EMPIRE ESKİTME  AVİZE/ CHANDELIER;"çap: 50cm
uzun 45cm
6 katlı cam";14000;19600;"çap: 50cm
uzun 45cm
6 katlı cam";
PND1709;EMPIRE BAKIR  AVİZE/ CHANDELIER;"1 çap: 50cm
2  çap: 30cm
Uzunluk: 50cm
Cam: 3 katlı, 15cm";14000;19600;"çap: 50cm
uzun 45cm
6 katlı cam";
PND1709;EMPIRE  APLİK;"1) kat 35cm genişlik
18 cm derinlik
33cm yükseklik
15cm cam uznluk
2) kat 19cm genişlik
10 cm derinlik
15cm cam uzunluk
55X35 CM ";6500;9100;;
PND1709;EMPIRE  LAMBADER;"
45 cm çap
8 duy e14 
şapka yükseklik 50cm
İki kat cam uzunluk: 15cm, 
30cm
145X45 CM ";25000;35000;;
PND1709;EMPIRE COFFEE TABLE;67X52 CM ;25000;35000;;
PND1709;EMPIRE COFFEE SIDE TABLE;70X67 CM ;19000;26600;;
PND1710;HYPONIC AVİZE/CHANDELIER;;38500;53900;;
PND1711;"MAJESTIC
CHANDELIER";DIA:80 60 40 CM;27500;38500;;
PND1711;"MAJESTIC
AYNA APLİK / MIRROR WALL";DIA:70 CM ;8500;11900;;
PND1429;LUNA SARKIT/PENDANT ;35 Q;11000;15400;;
PND1429;LUNA APLİK ;25X16X15 CM ;2900;4060;;
PND1325;GLAZE TAŞ AVİZE /CHANDELIER;90X40X120 CM ;35000;49000;;
PND1340 ;LEAF YAPRAK AVİZE/CHANDELIER;80X130 CM;55000;77000;;
PND13668 ;WAWE BOZNUZ AVİZE/CHANDELIER;80X190 CM ;65000;91000;;
PND1259 ;WATERFALL ;60X30X120 ;38000;53200;;
PND1284-W   ;TRIANGE APLİK/WALL;;4200;5880;;
PND1284  ;TRIANGE AVİZE /CHANDELIER;;;;;
PND1309  ;HARMONY YUVARLAK FORM AVİZE/CHANDELIER;120X60 CM ;29000;40600;;
PND1309  ;HARMONY LİNER FORM AVİZE/CHANDELIER;120X40X 110;35000;49000;;
PND1291-A ;MODO AVİZE MASA ÜSTÜ FORM;35X90 CM ;12500;17500;;
PND1712;DONA AVİZE/CHANDELIER;"85 Q 
8+4 ";19000;26600;;
PND1234;STAMP SANS AVİZE/CHANDELIER;150 X90 CM ;95000;133000;;
PND1234;STAMP SANS AVİZE/CHANDELIER;Q: 90 ;85000;119000;;
;Close 4 L pendant/sarkıt;"METAL UZUNLUK 60 CM
ÜRÜN TOPLAM UZUNLUK:120 CM 
";580;812;230,00 TL;
;Close 6 L pendant/sarkıt;"METAL UZUNLUK 80 CM
ÜRÜN TOPLAM UZUNLUK:120 CM 
5*5  KARE PROFİL";870;1218;;
;Close 8 L pendant/sarkıt;"METAL UZUNLUK 100 CM
ÜRÜN TOPLAM UZUNLUK:100 CM 
5*5  KARE PROFİL";1750;2450;;
PND1426-W3;"PETRA APLİK 3 L
";"41 CM X 15 CM
PİRİNÇ ROZANS";2250;3150;;
PND1426-W5;"PETRA APLİK 5 L
";"75 CM X 15 CM
PİRİNÇ ROZANS";3750;5250;;
PND1426-W7;"PETRA APLİK 7 L
";"110 CM X 15 CM
PİRİNÇ ROZANS";5250;7350;;
PND1426;PETRA OVAL AVİZE /CHANDELIER;"100X
42X17 CM";32500;45500;;
PND1426;PETRA YUVARLAK AVİZE /CHANDELIER;"60 X17 CM
";27500;38500;;
PND1426;PETRA LİNER AVİZE /CHANDELIER;"85X15X80 CM
";22500;31500;;
PND1242    ;ÇAN SARKIT/PENDANT;60X120 CM ;17500;24500;;
PND1242    ;ÇAN APLİK//WALL;17X40 CM;2900;4060;;
;;;;;;
;ATLANTİS AVİZE/CHANDELİER;"L:120cm
W:40 cm
L: 90cm";75000;105000;;
;Atlantis Zincir Armatür;70 Q;7500;10500;;
PND1278;DRAGON ZİNCİR AVİZE/CHANDELIER;"L:110cm;
W: 40cm; 
H: 60cm";65000;91000;;
PND1278;DRAGON ZİNCİR AVİZE/CHANDELIER;"L:120cm 
W:40 cm 
H:60 cm ";70000;98000;;
PND1279;Pantheon Zincir Avize/Chandelier ;"L:110cm; 
W: 40cm;
 H: 60cm";190000;266000;;
PND1277;Stream   Zincir Avize/Chandelier;60 Q;22500;31500;;
PND1277-W3;"Atlantique
 Zincir Aplik/WALL";"Dia : 20 cm
 L:55 cm ";8500;11900;;
PND1277-W2;"Stream 
 Zincir Aplik/WALL";32X35X10 CM ;7500;10500;;
PND1277-W1;"Stream 
 Zincir Aplik/WALL";35X24X10 CM ;6500;9100;;
PND1277;"Stream  Zincir 
Avize/Chandelier";Q: 90 CM ;115000;161000;;
PND1277;"Stream  Zincir Liner
Avize/Chandelier";120  Q;125000;175000;;
PND1277-L;Antique  Lambader/florlamp;"H :175  cm 
Q:35 cm";45000;63000;;
PND1277-A;Alonora ;50  Q ;9500;13300;;
;Alonora Avize;50  Q;4750;6650;;
;RETRO APLİK/WALL LAMP;;2450;3430;;
PND1292-1  ;RIKA APLİK 1 L/WALL;20X8 CM ;1950;2730;;
PND1292-2;RIKA APLİK 2 L /WALL;32X30;3850;5390;;
PND1292-3  ;RIKA APLİK3 L /WALL;60X30 CM;5750;8050;;
;"Selfie Cam 15 cm Sarkıt



";DİA:15 CM;125;175;;
;"Selfie Cam 20 cm Sarkıt



";Dia : 20 cm;175;245;;
;"Selfie Cam 25 cm Sarkıt



";Dia : 25 cm;225;315;;
;"Selfie Cam 35 cm Sarkıt

Renk seçin : bakır, altın, kromSelfie Cam 30 cm Sarkıt

";Dia : 35 cm;475;665;;
;"Selfie Cam 40 cm Sarkıt
";Dia : 40 cm;590;826;;
;"Selfie Cam 50 cm Sarkıt
";Dia : 50 cm;1100;1540;;
;"Selfie2 Cam 20 cm Sarkıt

Renk seçin : bakır, altın, kromSelfie2 Cam 20 cm Sarkıt

";Çap 20 cm;200;280;;
;"Selfie2 Cam 30 cm Sarkıt

Renk seçin : bakır, altın, kromSelfie2 Cam 30 cm Sarkıt

";Çap 30 cm;340;476;;
