code;name;dimension;disc price;price;
PND1648;VERONA APLİK/WALL;20 Q;5500;6000;1.800,00 TL;
PND1648;VERONA 2L SARKIT/PENDANT;20 X35 CM ;8500;10000;2.400,00 TL;
PND1649;ONYX SARKIT/PENDANT;30 Q;3900;5460;1.900,00 TL;
PND1649;ONYX SARKIT/PENDANT;25 Q;3800;5320;1.500,00 TL;
PND1649;ONYX SARKIT/PENDANT;30 Q;4200;5880;1.900,00 TL;
PND1649;ONYX SARKIT/PENDANT;"ROZANS 30 Q
MERMER
2 ADET 25 Q
1 ADET 30 Q";13800;19320;5.400,00 TL;
PND1649;ONYX SARKIT/PENDANT;"ROZANS 40 Q
MERMER
4 ADET 25 Q
3 ADET 30 Q";39500;55300;11.700,00 TL;
PND1702;FOX MARBLE  SARKIT/PENDANT;"ROZANS 60 Q
MERMER
9L 
 H 160cm";39000;46800;19.500,00 TL;
PND1703;"ROT MARBLE
SARKIT/PENDANT";"ROZANS 90X37 CM 
MERMER
7L 
 H 160cm";33000;39600;16.500,00 TL;
PND1704;"TOR MARBLE
SARKIT/PENDANT";"ROZANS 80X30 
MERMER
7L 
 H 160cm
Mermer çap 8 cm ";38000;45600;19.000,00 TL;
PND1650;LOPI APLİK/WALL;64X14X18;6750;9450;2.250,00 TL;
PND1651;JENGA APLİK/WALL;YÜKSEKLİK : 50 cm ;2700;3780;900,00 TL;
PND1652;NOSA APLİK /WALL;YÜKSEKLİK : 75 CM ;5700;7980;1.900,00 TL;
PND1653;CIRQUE SARKIT/PENDANT;25x75 cm;5760;8064;1.920,00 TL;
PND1654;EDİE APLİK/WALL;Yükseklik: 14 cm Genişlik: 6 cm  ;2800;3920;1.900,00 TL;
PND1655;MERİDIAN SARKIT/PENDANT;20 Q;7100;9940;;
PND1655;MERİDIAN APLİK/WALL;12 CM;6000;8400;;
PND1656;BRACE APLİK/WALL;45X15 CM;5500;7700;2.500,00 TL;
PND1656;BRACE APLİK/WALL;28X6 CM ;6900;9660;;
PND1657;BERAN APLİK/WALL;33 Q;7500;10500;;
PND1338/1;GEMPA SARKIT/PENDANT;30 CM ;3800;5320;645,00 TL;
PND1338/2;GEMPA SARKIT/PENDANT;60 CM ;6500;9100;1.290,00 TL;
PND1338/3;GEMPA SARKIT/PENDANT;90 CM ;9000;12600;1.935,00 TL;
PND1338/4;GEMPA SARKIT LİNER FORM/PENDANT;140 CM ;11500;16100;2.150,00 TL;
PND1254;PAU SARKIT /PENDANT;25 Q;1875;2625;;
PND1254/W;PAU APLİK/WALL;"ROZANS : 17 CM
YÜKSEKLİK : 35 CM

 ";1275;1785;;
PND1310/W;GALERİA APLİK/WALL;"13 x 14  
YÜKSEKLİK 62 cm";5500;7700;16 adet ;
PND1658;PİN APLİK / WALL;"30 Q
";3000;4200;1.500,00 TL;
PND1659;GREGG SARKIT;15 Q;1000;1400;165,00 TL;
PND1659;GREGG SARKIT;23 Q;1700;2380;290,00 TL;
PND1659;GREGG SARKIT;32 Q;2200;3000;450,00 TL;
PND1659;GREGG SARKIT;"

47 cm ";3300;4620;895,00 TL;
PND1344/A;BRASS SARKIT ;16X31 CM;3000;2800;685,00 TL;
PND1344/B;BRASS SARKIT ;23X28 CM;3250;3900;945,00 TL;
PND1344/C;BRASS SARKIT ;40X13 CM;3750;4100;990,00 TL;
PND1688;MAFSALLI SPOT ;;1650;2475;850,00 TL;
PND1689;KATERİNA APLİK;34x11 cm ;4000;6000;2.000,00 TL;
PND1690;TRİPOT MASA LAMBASI;"Çap 30
H:50 cm
";5500;8250;2.750,00 TL;
PND1336;LOFT SARKIT KÜÇÜK/PENDANT;"ÖLÇÜLER 
 20 Q";4000;6000;2.000,00 TL;
PND1336;LOFT SARKIT BÜYÜK/PENDANT;"ÖLÇÜLER 
 30 Q";4500;6750;2.250,00 TL;
PND1661;PARİS SARKIT/PENDANT;"ÖLÇÜLER 
 ";3500;4900;1.750,00 TL;
PND1314;"CIRCLE RING 9 L 
SARKIT/PENDANT";"ÖLÇÜLER 
30 Q
40 Q
50 Q
60 Q
80  Q";22500;27500;;
PND1314;"CIRCLE  RING 6 L 
SARKIT/PENDANT";"ÖLÇÜLER 
30 Q
40 Q
60 Q
80  Q";18500;25000;;
PND131-B ;"CIRCLE  RING 5 L 
SARKIT/PENDANT";120 CM;13500;18900;;
PND1443-W  ;CLIPS APLİK/WALL;135X88 CM ;8640;12096;;
PND1222;MEX SARKIT;"

Ölçüler
 15 cm     
120 cm   
Kelvin
3000";3500;4900;1.750,00 TL;
PND1222;MEX 3 L SARKIT;"Ölçüler
 40 cm     
120 cm   ";11500;16100;5.750,00 TL;
PND1222;MEX APLİK/WALL;"ÖLÇÜLER
18 CM 
48 CM ";2800;2650;1.250,00 TL;
PND1662;VİP SARKIT 1L /PENDANT;82X3,5;1200;1680;475,00 TL;
PND1662;"VİP SARKIT 3L 
/PENDANT";20 Q;2900;4060;1.425,00 TL;
PND1662;VİP SARKIT 9 L /PENDANT;35 Q;9800;13720;4.275,00 TL;
PND1223;SEZAR SARKIT/PENDANT;70 Q;11000;15400;5.500,00 TL;
PND1223;SEZAR SARKIT/PENDANT;90 Q;13000;18200;6.500,00 TL;
PND1223-A;SEZAR SARKIT/PENDANT;120X30 ;11000;15400;5.500,00 TL;
PND1223-A;"SEZAR 
SARKIT/PENDANT";"W:15
 L:61 
H:12";3250;4550;1.900,00 TL;
PND1223-W;"SEZAR 
APLİK/WALL";"W:15
 L:61 
H:12";3400;4760;1.750,00 TL;
PND1663;LEATA SARKIT/PENDANT;Q:20 CM;2000;2800;1.000,00 TL;1.394,00 TL
PND1663;LEATA SARKIT/PENDANT;Q:25 CM;2400;3360;1.200,00 TL;
PND1663;LEATA SARKIT/PENDANT;Q:30 CM;2800;3920;1.400,00 TL;
PND1663;"LEATA 
ABAJUR/TABLE LAMP";"ÖLÇÜLER
25 Q";2900;4060;750,00 TL;1.161,00 TL
PND1663;LEATA APLİK/ WALL;15 Q;1850;2590;;
PND1216;"PERA  1L 
SARKIT /PENDANT";"Ölçüler
60 cm     120 cm";4000;5600;2.000,00 TL;z
PND1216;"PERA  1L 
SARKIT /PENDANT";"Ölçüler
60 cm     120 cm   ";4000;5600;2.000,00 TL;
PND1216-2L;"PERA  2L 
SARKIT /PENDANT";"Ölçüler
 70 cm     120 cm   ";9500;13300;5.500,00 TL;
PND1216-3L;"PERA
 SARKIT  3 L";"
Ölçüler
 77 cm     120 cm    ";15500;21700;2.000,00 TL;
PND1216-6L;PERA SARKIT  6 L;"
Ölçüler
 105 cm     180 cm   ";29500;41300;;
PND1260-W;PERCH APLİK/WALL LAMP;20 X 50 CM ;4900;6860;600,00 TL;
PND1260-A;PERCH TEKLİ SARKIT/PENDANT;22X135 CM ;6500;9100;915,00 TL;
PND1260-C;PERCH 3 L SARKIT/PENDANT ;60X135 CM ;11000;15400;1.970,00 TL;
PND1260-D;PERCH 5 L SARKIT/PENDANT ;90X135 CM ;17500;24500;3.020,00 TL;
PND1687;ITALO APLİK/ WALL;50 Q;4600;6440;;
PND1687;ITALO AVİZE/ CHANDELIER;40X25 CM ;12300;17220;4.100,00 TL;
PND1687;ITALO AVİZE/ CHANDELIER;80X33 CM ;34170;47838;11.390,00 TL;
PND1687;ITALO AVİZE/ CHANDELIER;100X48 CM ;52500;73500;17.500,00 TL;
PND1413;PALMİYE AVİZE ;90X60 cm;52500;73500;25.000,00 TL;
PND1413-2;PALMİYE 2 KATLI  AVİZE;80X90 CM ;90000;125000;45.000,00 TL;
PND1413-W;PALMİYE APLIK/WALL;"Q 50
H 20 
derinlik 35";28500;39900;15.000,00 TL;
PND1419   ;ALLURE AVİZE/CHANDELIER;220X70X20 CM;39500;55300;;
PND1406;FLORAL AVİZE/CHANDELIER;75X25 CM;9500;13300;;
PND1406;FLORAL AVİZE/CHANDELIER;60 Q;19500;27300;;
PND1406;FLORAL AVİZE/CHANDELIER;65 X 80 CM ;27500;38500;;
PND1408;DROPS AVİZE/CHANDELIER;100X80 CM;18500;25900;;
PND1418;BIRD AVİZE/CHANDELIER;100X40 CM ;17500;24500;;
PND1619;GILT AVİZE/CHANDELIER;80X90 CM ;7500;10500;;
PND1424 ;TULIP SARKIT/PENDANT;50X130 CM;27500;38500;;
PND1346-W;CRACK APLİK/WALL;40X25 CM;3800;5320;;
PND1346  ;CRACK SARKIT/PENDANT;50X25 CM;11000;15400;;
PND1705-W;MARINAL APLİK/ WALL;24 X 40 X10 ;4650;6520;15.000,00 TL;
PND1701;YENILAY AVİZE/CHANDELIER;Q:65 CM H:100 CM ;23963;33548;7.987,50 TL;
PND1701;YENILAY AVİZE/CHANDELIER;L:100CM W:35CM H:100CM;16200;22680;5.400,00 TL;
